PW_MODEL_PW2281S_20_6 
Capacity=2.1474AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 3.1831436157, 0.18544006348 
1, 3.2640686035, 0.18633270264 
2, 3.3156814575, 0.186378479 
3, 3.3556747437, 0.18671035767 
4, 3.3795433044, 0.18752288818 
5, 3.3953514099, 0.18726730347 
6, 3.4065589905, 0.18744659424 
7, 3.4179229736, 0.18796920776 
8, 3.4282264709, 0.18843841553 
9, 3.4377288818, 0.18720626831 
10, 3.4454574585, 0.18850708008 
11, 3.4537086487, 0.19014358521 
12, 3.4610519409, 0.19003677368 
13, 3.4669036865, 0.18864059448 
14, 3.4731407166, 0.18916320801 
15, 3.4794311523, 0.19018554688 
16, 3.4861869812, 0.19271850586 
17, 3.4923362732, 0.19179916382 
18, 3.4992790222, 0.19226074219 
19, 3.5057220459, 0.19385910034 
20, 3.5116157532, 0.19010925293 
21, 3.5164337158, 0.18978881836 
22, 3.5216331482, 0.18702697754 
23, 3.5265579224, 0.18743896484 
24, 3.5312385559, 0.18671798706 
25, 3.5351867676, 0.18733978271 
26, 3.5395812988, 0.18758010864 
27, 3.5438766479, 0.18700408936 
28, 3.5475883484, 0.18682098389 
29, 3.5517692566, 0.18702316284 
30, 3.5559272766, 0.18769073486 
31, 3.5600547791, 0.18822860718 
32, 3.5636558533, 0.18895721436 
33, 3.5677833557, 0.19026947021 
34, 3.5719070435, 0.19269561768 
35, 3.5760612488, 0.19094467163 
36, 3.5797309875, 0.19107437134 
37, 3.5839576721, 0.19195556641 
38, 3.5882301331, 0.19195175171 
39, 3.5920219421, 0.1918182373 
40, 3.596446991, 0.1908531189 
41, 3.6009063721, 0.18994140625 
42, 3.6054916382, 0.19175338745 
43, 3.6095962524, 0.19125366211 
44, 3.6144065857, 0.19156646729 
45, 3.6194038391, 0.1916809082 
46, 3.624622345, 0.19244384766 
47, 3.6291923523, 0.19402313232 
48, 3.6346702576, 0.1909866333 
49, 3.6403808594, 0.19127655029 
50, 3.645614624, 0.19137573242 
51, 3.6516342163, 0.19330596924 
52, 3.6579742432, 0.19365310669 
53, 3.6645507813, 0.19446563721 
54, 3.6704673767, 0.19393157959 
55, 3.6774291992, 0.19290542603 
56, 3.6846618652, 0.19178771973 
57, 3.6920700073, 0.19101333618 
58, 3.6987800598, 0.19061279297 
59, 3.7066574097, 0.19118881226 
60, 3.7147750854, 0.19179153442 
61, 3.7231254578, 0.19267654419 
62, 3.7306194305, 0.19339942932 
63, 3.7393894196, 0.19382286072 
64, 3.7484016418, 0.19339370728 
65, 3.756526947, 0.19374084473 
66, 3.7659835815, 0.19322967529 
67, 3.7755336761, 0.19359397888 
68, 3.7853775024, 0.19469833374 
69, 3.7941417694, 0.1948299408 
70, 3.8042888641, 0.19333457947 
71, 3.8145847321, 0.1930141449 
72, 3.8250637054, 0.1925945282 
73, 3.8343429565, 0.19274520874 
74, 3.8450679779, 0.19316291809 
75, 3.8559169769, 0.19169425964 
76, 3.865530014, 0.19166755676 
77, 3.876625061, 0.19249343872 
78, 3.8878517151, 0.19002532959 
79, 3.8992595673, 0.18890953064 
80, 3.9091949463, 0.18975067139 
81, 3.9207458496, 0.18854522705 
82, 3.9324913025, 0.18796920776 
83, 3.9442367554, 0.18778610229 
84, 3.9545288086, 0.18830680847 
85, 3.9664745331, 0.18842887878 
86, 3.9785480499, 0.18926811218 
87, 3.9907302856, 0.19193840027 
88, 4.0014419556, 0.19047355652 
89, 4.0137844086, 0.18816566467 
90, 4.0262413025, 0.18835830688 
91, 4.0372390747, 0.18659210205 
92, 4.0499191284, 0.1863155365 
93, 4.0627784729, 0.18496513367 
94, 4.0756912231, 0.18720626831 
95, 4.087266922, 0.1889705658 
96, 4.1007957458, 0.1914806366 
97, 4.1148509979, 0.19220733643 
98, 4.1300601959, 0.19356155396 
99, 4.1461925507, 0.19870948792 
100, 4.1869735718, 0.2583770752 
