TEST_PARAM.comment:,18650

SourceMeter Model:,2450
SourceMeter S/N:,00000000
SourceMeter Firmware:,1.7.1e

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,4.1914849281
TEST_PARAM.vcutoff:,3

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,1
TEST_PARAM.max_discharge_current:,1

TEST_PARAM.measure_interval:,10

TEST_PARAM.discharge_start_time:,07/03/20 14:51:05
TEST_PARAM.discharge_stop_time:,07/03/20 16:59:55

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,1,0.04147066,4.1869735718,3.9285964966,0.2583770752
BATT_MODEL_RAW:,2,10.04163994,4.1751747131,3.9447231293,0.23045158386
BATT_MODEL_RAW:,3,20.04195438,4.1686229706,3.95063591,0.21798706055
BATT_MODEL_RAW:,4,30.04289712,4.1635017395,3.9475860596,0.21591567993
BATT_MODEL_RAW:,5,40.04404116,4.1592350006,3.9434394836,0.21579551697
BATT_MODEL_RAW:,6,50.04481626,4.1554431915,3.9393730164,0.21607017517
BATT_MODEL_RAW:,7,60.04562628,4.152048111,3.9423675537,0.20968055725
BATT_MODEL_RAW:,8,70.04634302,4.1489944458,3.9473381042,0.20165634155
BATT_MODEL_RAW:,9,80.04716334,4.1461925507,3.9474830627,0.19870948792
BATT_MODEL_RAW:,10,90.04737856,4.1436023712,3.9476509094,0.19595146179
BATT_MODEL_RAW:,11,100.04829772,4.1411247253,3.9458198547,0.19530487061
BATT_MODEL_RAW:,12,110.04906084,4.1387672424,3.9439659119,0.19480133057
BATT_MODEL_RAW:,13,120.05018826,4.1364307404,3.9417533875,0.19467735291
BATT_MODEL_RAW:,14,130.05060916,4.1343212128,3.9396514893,0.19466972351
BATT_MODEL_RAW:,15,140.05131596,4.1321258545,3.9372825623,0.19484329224
BATT_MODEL_RAW:,16,150.05158634,4.1300601959,3.936498642,0.19356155396
BATT_MODEL_RAW:,17,160.05184474,4.1280403137,3.9346523285,0.19338798523
BATT_MODEL_RAW:,18,170.05213434,4.126077652,3.9331703186,0.19290733337
BATT_MODEL_RAW:,19,180.05308966,4.1241550446,3.9298915863,0.19426345825
BATT_MODEL_RAW:,20,190.0534611,4.1222476959,3.926448822,0.1957988739
BATT_MODEL_RAW:,21,200.05388696,4.1203632355,3.9248046875,0.19555854797
BATT_MODEL_RAW:,22,210.05503024,4.1184978485,3.9234809875,0.19501686096
BATT_MODEL_RAW:,23,220.05631474,4.1166706085,3.9226894379,0.19398117065
BATT_MODEL_RAW:,24,230.05749754,4.1148509979,3.9226436615,0.19220733643
BATT_MODEL_RAW:,25,240.05781516,4.1130599976,3.9208621979,0.19219779968
BATT_MODEL_RAW:,26,250.05833834,4.1112728119,3.920091629,0.19118118286
BATT_MODEL_RAW:,27,260.0593152,4.1094818115,3.9175071716,0.19197463989
BATT_MODEL_RAW:,28,270.0603908,4.1077346802,3.9156265259,0.1921081543
BATT_MODEL_RAW:,29,280.06080194,4.1059894562,3.9137516022,0.192237854
BATT_MODEL_RAW:,30,290.06188338,4.1043128967,3.912569046,0.19174385071
BATT_MODEL_RAW:,31,300.0624175,4.1025085449,3.9104347229,0.19207382202
BATT_MODEL_RAW:,32,310.06318338,4.1007957458,3.9093151093,0.1914806366
BATT_MODEL_RAW:,33,320.06411186,4.0991306305,3.9074039459,0.19172668457
BATT_MODEL_RAW:,34,330.06466198,4.0974674225,3.9059638977,0.19150352478
BATT_MODEL_RAW:,35,340.06544256,4.095664978,3.9031410217,0.1925239563
BATT_MODEL_RAW:,36,350.06640894,4.0939750671,3.9018592834,0.19211578369
