	Instrument,	My DMM6500
	.Model,	DMM6500
	.SerialNumber,	00000000
	Acquisition,	
	.Measure Delay,	0 s
	.Measure Count Infinite,	Enabled
	.Start at HH:MM Enabled,	Disabled
	Function ,	DC Voltage
	.Range,	10 V
	.NPLC,	1
	.Input Impedance,	10 MΩ
	.Units,	V
	.Auto Delay,	Enabled
	Rel Enabled,	Disabled
	Filter,	Disabled
	Math,	Disabled
	Trigger Mode,	Immediate
	Limit 1,	Disabled
	Limit 2,	Disabled

Index,DMM-1 Time (s),DMM-1 Voltage (V)
"1","0","5.1998135632286E-06"
"2","0.020045909","3.80983181782342E-06"
"3","0.04008906","4.69436565580853E-06"
"4","0.060132212","4.18891774838847E-06"
"5","0.080175485","2.79893600298329E-06"
"6","0.122268","2.0407641418532E-06"
"7","0.142312242","1.15623030386809E-06"
"8","0.162355515","2.79893600298329E-06"
"9","0.182398666","2.92529797983831E-06"
"10","0.20244206","5.70526147064866E-06"
"11","0.244535","1.91440216499818E-06"
"12","0.26457903","5.95798542435869E-06"
"13","0.284622333","5.07345158637358E-06"
"14","0.304666939","1.02986832701307E-06"
"15","0.32471003","4.31527972524348E-06"
"16","0.366801","2.67257402612828E-06"
"17","0.386844969","9.03506350158054E-07"
"18","0.406888242","2.67257402612828E-06"
"19","0.426931515","2.92529797983831E-06"
"20","0.446974757","2.67257402612828E-06"
"21","0.489069","-1.07389464682073E-07"
"22","0.509112212","2.54621204927326E-06"
"23","0.529155576","4.94708960951856E-06"
"24","0.549198969","3.05165995669332E-06"
"25","0.569241727","1.53531623443313E-06"
"26","0.611336","1.20677527676974E-06"
"27","0.631380394","3.86037692208838E-06"
"28","0.651423636","2.59675709098427E-06"
"29","0.671466818","2.9758430403155E-06"
"30","0.691509969","3.86037692208838E-06"
"31","0.733605","5.50308270252373E-06"
"32","0.753649333","2.59675709098427E-06"
"33","0.773692485","2.34403312476344E-06"
"34","0.793735636","3.86037692208838E-06"
"35","0.813778788","4.87127278697167E-06"
"36","0.855872","3.86037692208838E-06"
"37","0.875916576","1.20677527676974E-06"
"38","0.895959727","9.54051310548917E-07"
"39","0.916002879","4.74491080386126E-06"
"40","0.93604603","1.45949924299056E-06"
"41","0.97814","2.21767114165303E-06"
"42","0.998184545","2.34403312476344E-06"
"43","1.018227697","2.84948105720509E-06"
"44","1.038270848","2.34403312476344E-06"
"45","1.058314","-3.09568520555197E-07"
"46","1.100406","1.71222320921139E-06"
"47","1.120449697","9.54051310548917E-07"
"48","1.140492848","2.84948105720509E-06"
"49","1.160536","9.54051310548917E-07"
"50","1.180579151","1.33313725988015E-06"
"51","1.222671","3.86037692208838E-06"
"52","1.242715576","4.48603378107271E-07"
"53","1.262758727","3.48129097275715E-06"
"54","1.282801879","2.09130915854262E-06"
"55","1.302845939","3.2224139499686E-07"
"56","1.344941","2.84948105720509E-06"
"57","1.364984909","6.2612546011862E-06"
"58","1.385030091","2.59675709098427E-06"
"59","1.405073242","9.54051310548917E-07"
"60","1.425116394","4.1131008883092E-06"
"61","1.467208","3.35492898964674E-06"
"62","1.487250818","2.21767114165303E-06"
"63","1.507294091","3.2224139499686E-07"
"64","1.527337363","-4.35930503665609E-07"
"65","1.547380636","1.96494717543221E-06"
"66","1.589476","2.19871702365126E-06"
"67","1.609519939","1.69326907164728E-06"
"68","1.629563091","8.08735155640326E-07"
"69","1.649606242","1.18782111964331E-06"
"70","1.669649394","1.4405450956453E-06"
"71","1.711744","1.18782111964331E-06"
"72","1.731786303","2.83052696365623E-06"
"73","1.751829454","1.18782111964331E-06"
"74","1.771872606","2.95688895165722E-06"
"75","1.791915757","-1.21305665237558E-06"
"76","1.834009","1.4405450956453E-06"
"77","1.854052909","4.09414684366617E-06"
"78","1.87409606","4.29649191637344E-07"
"79","1.894139212","-4.54884724369614E-07"
"80","1.914182363","9.3509714364132E-07"
"81","1.956278","1.69326907164728E-06"
"82","1.976321606","1.4405450956453E-06"
"83","1.996364788","3.08325093965822E-06"
"84","2.016407939","2.07235503565027E-06"
"85","2.036451091","3.0328720363635E-07"
"86","2.078544","3.96778485566518E-06"
"87","2.098587818","6.82373167639332E-07"
"88","2.118630969","5.05632276343623E-08"
"89","2.138674121","1.18782111964331E-06"
"90","2.158717273","6.82373167639332E-07"
"91","2.20081","-3.2852273636862E-07"
"92","2.220854","2.07235503565027E-06"
"93","2.240897151","2.70416497565524E-06"
"94","2.260940303","-2.8557624963885E-06"
"95","2.280983454","1.76925215635356E-07"
"96","2.323074","3.84142286766418E-06"
"97","2.343118333","3.96778485566518E-06"
"98","2.363161515","5.05632276343623E-08"
"99","2.383204666","9.3509714364132E-07"
"100","2.403247818","9.3509714364132E-07"
